t_ms,PWM,Presion_kPa,,,
4000,0,7.013,,,
4010,0,7.013,,,
4020,0,7.019,,,
4030,0,7.013,,,
4040,0,6.994,,,
4050,0,7.013,,,
4060,0,7.013,,,
4070,0,6.994,,,
4080,0,7,,,
4090,0,7,,,
4100,0,7.006,,,
4110,0,7.013,,,
4120,0,6.994,,,
4130,0,7.006,,,
4140,0,7,,,
4150,0,7,,,
4160,0,7,,,
4170,0,6.994,,,
4180,0,7,,,
4190,0,7.013,,,
4200,0,7.006,,,
4210,0,7.006,,,
4220,0,7.006,,,
4230,0,6.994,,,
4240,0,7,,,
4250,0,6.994,,,
4260,0,6.994,,,
4270,0,7,,,
4280,0,7,,,
4290,0,7.006,,,
4300,0,7.013,,,
4310,0,6.994,,,
4320,0,7.025,,,
4330,0,7.013,,,
4340,0,6.994,,,
4350,0,6.994,,,
4360,0,6.988,,,
4370,0,7,,,
4380,0,6.981,,,
4390,0,7.006,,,
4400,0,7,,,
4410,0,7.006,,,
4420,0,7.013,,,
4430,0,6.988,,,
4440,0,7.006,,,
4450,0,7.013,,,
4460,0,7,,,
4470,0,7.019,,,
4480,0,7.006,,,
4490,0,7.006,,,
4500,0,7.013,,,
4510,0,7.013,,,
4520,0,6.994,,,
4530,0,7,,,
4540,0,6.994,,,
4550,0,7.006,,,
4560,0,7.013,,,
4570,0,7,,,
4580,0,7.019,,,
4590,0,7.006,,,
4600,0,7,,,
4610,0,7.006,,,
4620,0,6.988,,,
4630,0,7,,,
4640,0,7.013,,,
4650,0,7.013,,,
4660,0,7.013,,,
4670,0,6.994,,,
4680,0,7.006,,,
4690,0,7.006,,,
4700,0,7.013,,,
4710,0,7.006,,,
4720,0,7,,,
4730,0,6.994,,,
4740,0,6.988,,,
4750,0,7,,,
4760,0,7,,,
4770,0,7,,,
4780,0,6.994,,,
4790,0,6.994,,,
4800,0,7,,,
4810,0,6.994,,,
4820,0,6.994,,,
4830,0,7,,,
4840,0,6.994,,,
4850,0,6.994,,,
4860,0,7,,,
4870,0,6.994,,,
4880,0,7,,,
4890,0,7.013,,,
4900,0,7,,,
4910,0,7,,,
4920,0,7.006,,,
4930,0,7,,,
4940,0,7.006,,,
4950,0,7.006,,,
4960,0,7.006,,,
4970,0,7.019,,,
4980,0,7,,,
4990,0,7.019,,,
5000,0,7.006,,,
5010,6,5.9,,,
5020,8,3.019,,,
5030,10,2.744,,,
5040,12,2.45,,,
5050,13,2.056,,,
5060,15,1.463,,,
5070,17,0.744,,,
5080,18,0.6,,,
5090,20,0.6,,,
5100,22,0.6,,,
5110,23,0.594,,,
5120,25,0.6,,,
5130,26,0.6,,,
5140,28,0.6,,,
5150,30,0.606,,,
5160,31,0.606,,,
5170,33,0.606,,,
5180,35,0.606,,,
5190,36,0.613,,,
5200,38,0.613,,,
5210,39,0.619,,,
5220,41,0.619,,,
5230,43,0.606,,,
5240,44,0.619,,,
5250,46,0.619,,,
5260,48,0.625,,,
5270,49,0.606,,,
5280,51,0.613,,,
5290,52,0.625,,,
5300,54,0.606,,,
5310,56,0.6,,,
5320,57,0.613,,,
5330,59,0.638,,,
5340,61,0.625,,,
5350,62,0.619,,,
5360,64,0.619,,,
5370,66,0.625,,,
5380,67,0.619,,,
5390,69,0.619,,,
5400,70,0.625,,,
5410,72,0.625,,,
5420,74,0.619,,,
5430,75,0.625,,,
5440,77,0.625,,,
5450,79,0.606,,,
5460,80,0.619,,,
5470,82,0.625,,,
5480,83,0.625,,,
5490,85,0.625,,,
5500,87,0.625,,,
5510,88,0.625,,,
5520,90,0.619,,,
5530,92,0.613,,,
5540,93,0.619,,,
5550,95,0.613,,,
5560,96,0.619,,,
5570,98,0.625,,,
5580,100,0.619,,,
5590,101,0.631,,,
5600,103,0.619,,,
5610,105,0.625,,,
5620,106,0.638,,,
5630,108,0.631,,,
5640,109,0.625,,,
5650,111,0.638,,,
5660,113,0.638,,,
5670,114,0.638,,,
5680,116,0.631,,,
5690,118,0.631,,,
5700,119,0.631,,,
5710,121,0.638,,,
5720,122,0.631,,,
5730,124,0.869,,,
5740,125,2.156,,,
5750,126,4.825,,,
5760,127,8.631,,,
5770,127,11.788,,,
5780,128,14.806,,,
5790,128,18.1,,,
5800,128,21.094,,,
5810,128,23.6,,,
5820,128,25.644,,,
5830,128,27.431,,,
5840,129,28.963,,,
5850,129,30.369,,,
5860,128,31.831,,,
5870,128,33.119,,,
5880,128,34.088,,,
5890,128,35.006,,,
5900,128,35.806,,,
5910,128,36.506,,,
5920,128,37.144,,,
5930,127,37.869,,,
5940,127,38.469,,,
5950,127,38.969,,,
5960,127,39.388,,,
5970,127,39.769,,,
5980,126,40.113,,,
5990,126,40.4,,,
6000,126,40.675,,,
6010,126,40.919,,,
6020,125,41.163,,,
6030,125,41.3,,,
6040,125,41.506,,,
6050,124,41.631,,,
6060,124,41.731,,,
6070,124,41.869,,,
6080,124,42.056,,,
6090,123,42.188,,,
6100,123,42.275,,,
6110,123,42.331,,,
6120,122,42.338,,,
6130,122,42.375,,,
6140,122,42.388,,,
6150,121,42.338,,,
6160,121,42.394,,,
6170,121,42.513,,,
6180,120,42.525,,,
